	Offense	Defense	Sp. Tms	TO	TotYd	OppTO
atl	6.910809618513111	7.75400517474679	3.041572441462913	0.6602252917735246	53.65534300825346	0.8432740427115679
buf	7.663627327155452	11.036199181826703	5.376968698156275	1.1281521496355325	80.29540697295444	0.8528028654224418
car	12.798044365579193	10.819994127385959	5.270505312586261	0.9944289260117531	102.85570394165475	0.6875516509523286
chi	8.997615031217995	12.22835323813745	4.837013541432357	0.7432233529572065	74.39433222139081	0.9944289260117533
cin	11.649431909304582	8.850940116867866	5.329314884941323	1.3642254619787415	88.73459624874941	1.247219128924647
cle	10.521142523509509	12.001404344908973	4.981238801744	0.90033663737852	56.789340255603136	0.996204919895622
clt	13.528296009352642	9.467898900143226	6.760305589739761	1.162919151265879	97.82399160396866	0.674199862463242
crd	10.957898825352727	12.037242607147757	4.304125491897279	0.8312094145936334	44.12935530913634	0.7762500258061847
dal	11.792243142563391	10.59590077970407	4.414106883995146	0.8660254037844386	68.75318174455637	1.4500221041639683
den	6.837339608112695	11.539908560440734	4.843958393366593	0.8548504142651103	46.449973089335586	0.8312094145936334
det	12.95145287860272	12.593759549210606	3.8878869582332247	1.3562026818605375	74.54749604558604	0.7559289460184544
gnb	9.257350030291246	9.341212626491988	3.9986105920265187	0.6513389472789296	59.07382387036298	1.1435437497937313
htx	9.961713185157125	9.907294429695055	3.7417230879190764	0.892582375303981	73.05021104235999	0.6887372317211946
jax	8.436154732262008	15.015623960284389	3.3148372886161397	1.2154310870109943	72.26545394123899	0.996204919895622
kan	9.339994200569219	8.708702520084914	4.946397342174067	0.7250110520819841	75.58193677504346	0.674199862463242
mia	13.612528971502686	12.410172423594013	3.7080236762099203	1.1180339887498947	93.0426201623034	1.0350983390135313
min	9.251410342933305	9.383149058285282	5.470372930614512	1.0552897060221726	87.36320258934346	0.9962049198956219
nor	9.56481083189835	9.915132689480256	4.803310273481543	1.2060453783110545	81.34689094653014	0.42163702135578396
nwe	7.893704242411586	13.05128880928368	4.280219961248097	1.2309149097933272	68.61823737170752	0.9168747682531898
nyg	8.273483647573533	9.27979577271684	5.304715787234349	0.6992058987801011	67.07508230831078	0.6741998624632421
nyj	12.052471945621779	8.069262667679123	5.4488182204951565	0.9438798074485389	92.07958514241905	0.9341987329938276
oti	8.197228698367109	10.390818944305272	4.341838128412128	1.2210278829367864	65.24233671474374	0.9045340337332909
phi	11.692965121530696	9.850636866044075	3.7568850128796862	1.3228756555322954	73.08260166870544	1.1464230084422218
pit	7.465545749195656	9.570450159214037	4.572631445167359	1.0350983390135313	38.23692587015855	1.1972189997378648
rai	9.048815023710747	8.08683516072058	4.7615182715180255	0.7862453931068965	97.91484395466638	0.28867513459481287
ram	9.272987450115522	11.608777641652601	4.840418714670594	0.834847109936722	65.61859492552396	1.0690449676496976
rav	7.390157164544383	11.05465505266145	4.659872271139343	0.5222329678670935	70.41957587678775	0.9870962335856491
sdg	8.75722860936419	10.214518344004283	2.96519813840492	0.5222329678670935	60.20686561071475	0.7510676161988108
sea	11.606117280698715	12.414511921537633	4.708229497380093	0.6324555320336761	87.5159985374103	0.4264014327112209
sfo	11.492913178708578	12.57981663883328	4.942663924106784	0.9486832980505139	46.79098025617046	0.9128709291752769
tam	9.044732905582858	11.256539414195348	3.315132727357986	0.9438798074485389	56.56972099394987	1.370320319406298
was	7.353134677355864	6.141718407742249	4.83784783417861	0.7559289460184544	60.97854814058247	0.9660917830792959
